addressID,postalCode,streetName,city,country
85,520483,Stephen,Yamazakichō-nakabirose,JP
86,816603,Towne,Suqiaoxiang,CN
87,044617,Brentwood,Mhango,TZ
88,185046,Northwestern,Yasinya,UA
89,564853,Morning,Weihai,CN
90,895925,Cody,Gorodets,RU
91,320166,Longview,Nghĩa Hành,VN
92,389600,Spohn,Shangqiu,CN
93,788059,Anhalt,Sekolan,ID
94,590181,Artisan,Tanjungbalai,ID
95,565402,Redwing,Lovisa,FI
96,003081,Carberry,Avellaneda,AR
97,126375,Eagan,Chernyanka,RU
98,893816,Corscot,Chervonopartyzans’k,UA
99,848537,Old Gate,Santa Marta,CO
100,751271,Esch,Alavus,FI
101,374720,International,Niebylec,PL
102,283270,Continental,Hezhang,CN
103,805509,Boyd,Chartres,FR
104,809078,Little Fleur,Goodlands,MU
105,170322,Dwight,Pueblo Nuevo,PA
106,842014,Kipling,Atikokan,CA
107,014083,Toban,Szczawno-Zdrój,PL
108,782605,Dayton,Pining,ID
109,158792,Warner,Buy,RU
110,119505,Pankratz,Broto,ID
111,967730,Mifflin,Cikadu,ID
112,891378,Amoth,San Pedro de Ycuamandiyú,PY
113,621771,Golf,Eskilstuna,SE
114,279191,Gale,Guadalupe Victoria,MX
115,620058,Chinook,Toyoshina,JP
116,889895,American,Caicó,BR
117,118155,Fulton,Teodoro Sampaio,BR
118,741526,Monica,Arazane,MA
119,167098,Evergreen,Mamali,PH
120,882138,Hansons,Satis,RU
121,955697,Lotheville,Kema,ID
122,103061,Summit,Namayingo,UG
123,516904,Huxley,Várzea,PT
124,204202,Duke,Krasnodon,UA
125,752319,Knutson,Triesenberg,LI
126,451474,Sunbrook,Kisoro,UG
127,755403,Springs,Ush-Tyube,KZ
128,729587,Valley Edge,Sergio Osmeña Sr,PH
129,583312,Badeau,Kukushtan,RU
130,316646,Magdeline,Anilao,PH
131,194660,Bayside,Kant,KG
132,061305,Claremont,Sannois,FR
133,745694,John Wall,Valledupar,CO
134,531389,Becker,Novoye Devyatkino,RU
135,728820,Melby,Aubagne,FR
136,084216,Delladonna,Räpina,EE
137,382213,Hansons,Dujiajing,CN
138,264782,Northwestern,Longhua,CN
139,041509,Gina,Ganhe,CN
140,013504,Fallview,Le Mans,FR
141,878872,Fuller,Talin Hiag,CN
142,088262,Loeprich,Mlawat,ID
143,245299,Kedzie,Cerme Kidul,ID
144,564546,American Ash,Mojosari,ID
145,874633,Hudson,Candon,PH
146,291195,Surrey,Yelizavetino,RU
147,800883,Sutteridge,Pirca,PE
148,973497,Shelley,Šenov,CZ
149,437576,David,Teplice,CZ
150,803934,Hansons,Babakanjaya,ID
151,122022,Colorado,Hyesan-dong,KP
152,922148,Spohn,Owczarnia,PL
153,811562,Hansons,Chishtiān Mandi,PK
154,655596,Farragut,Varjota,BR
155,683442,Warner,Fangtai,CN
156,299423,Sheridan,Kveda Chkhorots’q’u,GE
157,348956,Helena,Kovdor,RU
158,499220,Bartillon,Kelungkung,ID
159,818353,Mccormick,Tigre,AR
160,711500,Lukken,Bugana,NG
161,201795,6th,Pinheiros,BR
162,774679,Havey,Purwojoyo,ID
163,597300,Hansons,Timaru,NZ
164,307757,Old Shore,Nantes,FR
165,290423,Bellgrove,Jammāl,TN
166,455401,Chive,Xiaochuan,CN
167,384870,Carpenter,Ålesund,NO
168,000249,Schlimgen,Nao,ID
169,562473,Stephen,Ndago,TZ
170,127977,Manufacturers,Wuping,CN
171,401370,Norway Maple,Atyrau,KZ
172,674232,Sherman,Revelstoke,CA
173,450518,Stephen,Santisimo Rosario,PH
174,953835,Annamark,Banquero,PH
175,699020,Derek,Laraos,PE
176,496938,Dorton,Kavallári,GR
177,063038,International,Rothesay Bay,NZ
178,500079,Veith,Maclear,ZA
179,617448,5th,Margherita,UG
180,619467,Mesta,Mascote,BR
181,298453,Pearson,Laspezia,IT
182,592311,Jana,Kwale,NG
183,178460,Talisman,Dajanrurung,ID
184,799442,Forest Run,Villa Gesell,AR
185,603982,Holy Cross,Boulder,US
186,409435,Meadow Vale,Fuming,CN
187,967315,Lukken,Buenavista,PH
188,096970,Waywood,Fengmu,CN
189,501490,Jackson,Cibatuireng,ID
190,849441,Portage,Liping,CN
191,865317,Ryan,Tewulike,CN
192,614010,Arapahoe,Miłakowo,PL
193,706464,Melvin,Boucherville,CA
194,948932,Spohn,Kuroiso,JP
195,574049,Sachs,Bystré,CZ
196,202925,Miller,Deep River,CA
197,328107,Mosinee,Tvarožná,CZ
198,512353,Meadow Vale,Thị Trấn Cao Lộc,VN
199,644098,Havey,Sedlarevo,MK
200,718233,Meadow Vale,Pedreira,PT
